id,name,lat_new,long_new,located in,the_geom,cartodb_id,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat_old,long_old,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems
G1KR2086,brag dmar che shos ri khrod/; 扎玛东寺,36.65999,101.45408,湟中县; sku 'bum rdzong /,0101000020E610000022718FA50F5D5940F1D7648D7A544240,601.0,2086.0,,扎麻洞寺,zhamadong si,多巴镇,Duoba zhen,Duo Ba Zhen,630122.0,湟中县,Huangzhong Xian,6301.0,Xining Shi,Qinghai,Qinghai_Lex_20120621,36.65999,101.45408,630122101.0,596.0,brag dmar che shos ri khrod,630122101.0,290.0,brag dmar che shos ri khrod,brag dmar che shos ri khrod,na,G2350,sku 'bum rdzong,G1KR2086,,,,,扎玛东寺,扎玛尔东寺,zhamadong si,na,g,8.371002846,8.371,,,,,,
G211,ngor dgon pa/; 俄尔寺; Ngor Evam Choden,29.11667,88.81667,gzhis ka rtse/; 桑珠孜区(2014); Shikatse City (1986-2014),0101000020E6100000F5673F5244345640A16CCA15DE1D3D40,2779.0,1510.0,,,Ngor,,Qubuxiong xiang,,542301.0,日喀则市,Rikaze Shi,5423.0,Xigazi Diqu,Xizang,Tsanggonpa_Lex_20120622,29.11667,88.81667,542301203.0,542308.0,ngor e wam chos ldan,542301203.0,542308.0,ngor e wam chos ldan,,Shigatse,G2170,gzhis ka rtse rdzong,G211,,,,Ngor,俄尔寺,艾旺却丹寺,na,1429,Sakya,7.295542424,7.296,x,x,x,x,,
G1KR1101,乐旺寺,30.88333,98.53333,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000072FE261422A258405F9335EA21E23E40,2212.0,1101.0,,乐旺寺,Lewang si,则巴乡,Zeba xiang,Ze Ba Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.53333,542123203.0,328.0,,542123203.0,328.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1101,,,,na,乐旺寺,,Lewang si,na,Nyingma,4.520284778,4.52,na,na,na,na,na,
G1KR716,gyam sgang lha khang /; 甲空拉康,28.96667,99.8,cha phreng rdzong /; 乡城县,0101000020E61000003233333333F35840390664AF77F73C40,424.0,716.0,,,jia gong la kang,尼斯乡,Nisi xiang,Ni Si Xiang,513336.0,乡城县,Xiangcheng Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,28.96667,99.8,513336200.0,50.0,gyam sgang lh khang,513336200.0,50.0,gyam sgang lh khang,gyam sgang lha khang,Xiangcheng,G1103,cha phreng rdzong,G1KR716,,,,na,甲空拉康,,jia gong la kang,na,dge lugs/,7.37082627,7.371,,,,,,
G403,kong po 'brug chos sdings/,,,kong po/; 林芝县; nying khri rdzong /; Nyingtri county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR221,tshong ru bar ma'i dgon/; 巴玛寺,34.12115,103.05018,mdzod dge rdzong /; 若尔盖县,0101000020E610000072BA2C2636C3594088F4DBD7810F4140,573.0,221.0,,八麻寺,Ba mai si,崇尔乡,Chonger xiang,Chong Er Xiang,513232.0,若尔盖县,Ruo'ergai Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,34.12115,103.05018,513232208.0,170.0,Tshong ru bar ma'I dgon bkra shis 'khyil ba,513232208.0,170.0,Tshong ru bar ma'I dgon bkra shis 'khyil ba,tshong ru bar ma'I dgon bkra shis 'khyil ba,mdzod dge rdzong,G299,mdzod dge rdzong,G1KR221,,,,,巴玛寺,,Ba mai si,,G,10.42263797,10.423,,,,,,
G1KR1071,根普寺,31.13333,98.4,Joda County; 'jo mda' rdzong /; 江达县,0101000020E61000009A99999999995840609335EA21223F40,1648.0,1071.0,,格普寺,Genpu si,娘西乡,Niangxi xiang,Niang Xi Xiang,542122.0,江达县,Jiangda Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.13333,98.4,542122209.0,347.0,,542122209.0,347.0,na,,Jiangda,G2376,jo mda' rdzong,G1KR1071,,,,na,根普寺,,Genpu si,na,Kagyu,2.671189882,2.671,na,na,na,na,na,
G220,tshe smon gling /; 策门林寺; Tsemon Ling,29.6568,91.12927,lha sa/; Lhasa; 拉萨,0101000020E6100000A696ADF545C856404603780B24A83D40,2880.0,842.0,,,Tsemonling,吉日街道,Jiri jiedao,Ji Ri Jie Dao,540102.0,拉萨 城关区,Lhasa Chengguan Qu,5401.0,Lhasa Shi,Xizang,Lhasa_Lex_20120621,29.6568,91.12927,540102005.0,540101121.0,Tshe smon gling,540102005.0,540101121.0,Tshe smon gling,,Lhasa,G2800,lha sa grong khyer,G220,,,,Tsemonling,策门林寺,,na,1350,Tsalpa,6666.666667,6666.667,1650,Gelug,x,x,became a Regency Seat after Gelugpa conversion.,
G3706,'bras ljongs kaH thog dgon/,,,sikkim; 'bras ljongs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2079,gsar khri sgar pa/; 赛赤噶尔哇寺,37.11,101.46,大通县; gser khog rdzong /,0101000020E61000003D0AD7A3705D5940AE47E17A148E4240,594.0,2079.0,,赛赤噶尔哇寺,saichi ga'erwa si,西山乡,Xishan xiang,Xi Shan Xiang,630121.0,大通回族土族自治县,Datong Hui-Tu Zizhixian,6301.0,Xining Shi,Qinghai,Qinghai_Lex_20120621,37.11,101.46,630121206.0,49.0,gsar khri sgar pa,630121206.0,13.0,gsar khri sgar pa,gsar khri sgar pa,na,G1PD95966,gser khog rdzong,G1KR2079,,,,,赛赤噶尔哇寺,,saichi ga'erwa si,1373,g,3.850522708,3.851,,,,,,
G1KR2860,宗达寺; tsong mda' dgon/,31.96932,96.12611,nang chen rdzong /; 囊谦县; Nangchen County,0101000020E6100000B46CAD2F12085840D45B035B25F83F40,2853.0,2860.0,,宗达寺,zongda si,吉曲乡,Jiqu xiang,Ji Qu Xiang,632725.0,囊谦县,Nangqian Xian,6327.0,Yushu Zizhizhou,Qinghai,Yu_gonpa_Lex_20120622,31.96932,96.12611,632725206.0,140.0,tsong mda' mngon dga' bde chen gling,632725206.0,140.0,tsong mda' mngon dga' bde chen gling,tsong mda' mngon dga' bde chen gling,na,G1467,nang chen rdzong,G1KR2860,,,,,宗达寺,,zongda si,1175,Sakya,17.35904909,17.359,,,,,Phagspa was here in 1276,
G4373,stong 'jug dong /,,,波密县; spo bo rdzong /; Pome County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G165,佑宁寺; dgon lung dgon pa/,36.73822,102.1775,Gonlung; dgon lung rdzong /; 互助县,0101000020E61000008FC2F5285C8B594066A032FE7D5E4240,732.0,2235.0,,佑宁寺,youning si,松多藏族乡,Songduocangzu xiang,Song Duo Cang Zu Xiang,632126.0,互助土族自治县,Huzhu Tu Zizhixian,6321.0,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,36.73822,102.1775,632126206.0,103.0,dgon lung byams pa gling,632126206.0,127.0,dgon lung byams pa gling,,na,G1PD96101,dgon lung rdzong,G165,,,,,佑宁寺,,youning si,1584,g,47.27573573,47.276,1604,geluk,,,,
G1DOMM0054,Bayanzürkhiin dugan,47.88,107.07,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1157,绒通寺,31.25,95.91666,steng chen rdzong /; Tengchen County; 丁青县,0101000020E61000004963B48EAAFA57400000000000403F40,1215.0,1161.0,,金卡寺,Jinka si,觉恩乡,Jueen xiang,Jue En Xiang,542125.0,丁青县,Dingqing Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.25,95.91666,542125202.0,239.0,,542125202.0,239.0,na,,Dingqing,G2188,steng chen rdzong,G1KR1157,,,,na,金卡寺,,Jinka si,na,Geluk,6.286540517,6.287,na,na,na,na,na,
G1KR1195,多瓦寺,30.65,97.58334,brag g.yab rdzong /; 察雅县; Drakyap County,0101000020E6100000B79C4B71556558406766666666A63E40,1227.0,1194.0,,色卡寺,Seka si,烟多镇,Yanduo zhen,Yan Duo Zhen,542126.0,察雅县,Chaya Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.65,97.58334,542126100.0,89.0,,542126100.0,89.0,na,,Chaya,G2183,brag g.yab rdzong,G1KR1195,,,,na,色嘎寺,,Seka si,na,Geluk,27.26727382,27.267,na,na,na,na,na,
G4903,dkar lha dgon pa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1652,孝登寺; zhabs brtan dgon pa/,31.46667,92.05,Nagchu County; nag chu rdzong /; 那曲县; nag chu kha/,0101000020E610000032333333330357403A0664AF77773F40,1377.0,1652.0,,孝登寺,Xiaodeng si,那曲镇,Naqu zhen,Na Qu Zhen,542421.0,那曲县,Naqu Xian,5424.0,Nagqu Diqu,Xizang,Kham_Lex_20120621,31.46667,92.05,542421100.0,405.0,,542421100.0,405.0,na,,Nagchu,G2147,nag chu rdzong,G1KR1652,,,,na,孝登寺,霞登寺,Xiaodeng si,na,Geluk,15.23461304,15.235,na,na,na,na,na,
G2703,俄仓肖寺; sngo tshang shog dgon pa/,35.00624,96.37032,曲麻莱县; chu dmar leb rdzong /,0101000020E61000008143A852B3175840A8F6E978CC804140,2403.0,2890.0,,俄仓肖寺,e-cang xiao si,麻多乡,Maduo xiang,Ma Duo Xiang,632726.0,曲麻莱县,Qumalai Xian,6327.0,Yushu Zizhizhou,Qinghai,Yu_gonpa_Lex_20120622,35.00624,96.37032,632726204.0,84.0,sngo tshang shog dgon pa,632726204.0,84.0,sngo tshang shog dgon pa,,na,G2327,chu dmar leb rdzong,G2703,yus hru'u,,,,俄仓肖寺,,e-cang xiao si,1957,Nyingma,0.770021522,0.77,,,,,tent temple,
G1KR1400,yon phu grwa tshang /; 云布扎仓,29.48504,91.70808,sne gdong rdzong /; Nedong County; 乃东县,0101000020E6100000E8BCC62E51ED56407940D9942B7C3D40,2879.0,1400.0,,,Yonpu Dratsang,索珠乡,Suozhu xiang,Suo Zhu Xiang,542221.0,乃东县,Naidong Xian,5422.0,Shannan Diqu,Xizang,U_gonpa_Lex_20120622,29.48504,91.70808,542221201.0,542221124.0,yon phu grwa tshang,542221201.0,542221124.0,yon phu grwa tshang,yon phu grwa tshang,Nedong,G1513,sne gdong rdzong,G1KR1400,,,,Yonpu Dratsang,云布扎仓,,na,1405,Taktsangpa,2.752849199,2.753,x,x,x,x,rare Kagyu sub-sect afer 1405 according to Chan,
G1KR1084,唐夏寺,31.01667,98.23333,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E61000003ECBF3E0EE8E584006D3307C44043F40,1649.0,1087.0,,底玛寺,Dima si,相皮乡,Xiangpi xiang,Xiang Pi Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.01667,98.23333,542123201.0,301.0,,542123201.0,301.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1084,,,,na,帝玛寺,,Dima si,na,Kagyu,5.919027701,5.919,na,na,na,na,na,
G1KR1072,古日寺,31.13333,98.4,Joda County; 'jo mda' rdzong /; 江达县,0101000020E61000009A99999999995840609335EA21223F40,2189.0,1072.0,,古日寺,Guri si,娘西乡,Niangxi xiang,Niang Xi Xiang,542122.0,江达县,Jiangda Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.13333,98.4,542122209.0,348.0,,542122209.0,348.0,na,,Jiangda,G2376,jo mda' rdzong,G1KR1072,,,,na,古日寺,,Guri si,na,Nyingma,2.671189882,2.671,na,na,na,na,na,
G3043,nyi lding dgon/,,,stag rtse rdzong /; 达孜县; Taktse county; 'chums/; mchums mda' shang (stag rtse rdzong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1100,帮果寺,30.88333,98.53333,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000072FE261422A258405F9335EA21E23E40,2211.0,1100.0,,帮果寺,Bangguo si,则巴乡,Zeba xiang,Ze Ba Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.53333,542123203.0,327.0,,542123203.0,327.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1100,,,,na,帮果寺,,Bangguo si,na,Nyingma,4.520284778,4.52,na,na,na,na,na,
G2CN11066,klungs shod chor ba/,,,klung shod/; mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3048,gye re dgon gsar/,,,stag rtse rdzong /; 达孜县; Taktse county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2420,当格乙麻寺; dang po'i gzhi ma dgon/,35.57549,101.9988,同仁县; Rebkong County; reb gong rdzong /,0101000020E6100000ABCFD556EC7F5940689604A8A9C94140,2168.0,2420.0,,当格乙麻寺,dangge yima si,黄乃亥乡,Huangnaihai xiang,Huang Nai Hai Xiang,632321.0,同仁县,Tongren Xian,6323.0,Huangnan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.57549,101.9988,632321205.0,8.0,dang po'i gzhi ma dgon thub bstan chos 'khor gling,632321205.0,571.0,dang po'i gzhi ma dgon thub bstan chos 'khor gling,dang po'i gzhi ma dgon thub bstan chos 'khor gling,na,G984,reb gong rdzong,G1KR2420,,,,Dangpo,当格乙麻寺,,dangge yima si,950,no-sect,23.16244595,23.162,1250,Sakya,1600,Geluk,,
G1KR40,gzi ro gzhu shubs dgon/; 惹如寺,31.76314,101.52313,chu chen rdzong /; 金川县,0101000020E61000009D6340F67A615940FA449E245DC33F40,1812.0,40.0,,惹如寺,Re ru si,二嘎里乡,Ergali xiang,Er Ga Li Xiang,513226.0,金川县,Jinchuan Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,31.76314,101.52313,513226212.0,88.0,Gzi ro gzhu shubs dgon (Gzi gdong shubs dgon),513226212.0,88.0,Gzi ro gzhu shubs dgon (Gzi gdong shubs dgon),gzi ro gzhu shubs dgon (gzi gdong shubs dgon),Chu chen rdzong,G2335,chu chen rdzong,G1KR40,,,,,惹如寺,,Re ru si ?,1386,N,5.675046819,5.675,,,,,,
G1KR1608,bse brag sgrub sde/; 色扎卓德寺,29.13333,89.3,pa snam rdzong /; 白朗县; Panam County,0101000020E61000003333333333535640609335EA21223D40,2314.0,1608.0,,,Sedrak Drubde,,Luojiang zhen,,542329.0,白朗县,Bailang Xian,5423.0,Xigazi Diqu,Xizang,Tsanggonpa_Lex_20120622,29.13333,89.3,542329100.0,542329107.0,bse brag sgrub sde,542329100.0,542329107.0,bse brag sgrub sde,bse brag sgrub sde,Panam,G2174,pa snam rdzong,G1KR1608,,,,Sedrak Drubde,色扎卓德寺,,na,1892,Nyingma,10.88909457,10.889,x,x,x,x,,
G1618,dbang bzhi dgon/,,,nyag rong rdzong /; 新龙县; Nyakrong county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1158,崩寺,31.25,95.91666,steng chen rdzong /; Tengchen County; 丁青县,0101000020E61000004963B48EAAFA57400000000000403F40,1655.0,1156.0,,昂索寺,Angsuo si,觉恩乡,Jueen xiang,Jue En Xiang,542125.0,丁青县,Dingqing Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.25,95.91666,542125202.0,234.0,,542125202.0,234.0,na,,Dingqing,G2188,steng chen rdzong,G1KR1158,,,,na,昂索寺,,Angsuo si,na,Kagyu,6.286540517,6.287,na,na,na,na,na,
G1PD95983,祁家寺; chi kya dgon pa/,37.11,101.44875,大通县; gser khog rdzong /,0101000020E61000001F85EB51B85C5940AE47E17A148E4240,593.0,2078.0,,祁家寺,qijia si,西山乡,Xishan xiang,Xi Shan Xiang,630121.0,大通回族土族自治县,Datong Hui-Tu Zizhixian,6301.0,Xining Shi,Qinghai,Qinghai_Lex_20120621,37.11,101.44875,630121206.0,226.0,chi kya dgon pa,630121206.0,10.0,chi kya dgon pa,,na,G1PD95966,gser khog rdzong,G1PD95983,,,,,祁家寺,,qijia si,1729,g,3.850522708,3.851,,,,,,
G4247,ri bo dge 'phel/; Riwo Gepel,,,rnam gling rdzong /; 南木林县; Namling County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1115,扎芒寺,30.56667,98.9,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E61000009A99999999B95840D39FFD4811913E40,2225.0,1115.0,,扎芒寺,Zhangmang si,敏都乡,Mindu xiang,Min Du Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.56667,98.9,542123208.0,315.0,,542123208.0,315.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1115,,,,na,扎芒寺,,Zhanmang si,na,Nyingma,16.58099818,16.581,na,na,na,na,na,
G3484,dge 'dun sgang /,,,nyang po/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2905,阿汗达勒寺; bong stag dgon pa/,37.13516,98.55,天峻县; them chen rdzong /,0101000020E61000003333333333A358401ADD41EC4C914240,965.0,2905.0,,阿汗达勒寺,a-han dale si,铜普乡,Tongpu xiang,Tong Pu Xiang,632821.0,乌兰县,Wulan Xian,6328.0,Haixi Zizhizhou,Qinghai,Qinghai_Lex_20120621,37.13516,98.55,632821201.0,318.0,bong stag dgon pa dge ldan bshad sgrub rnam rgyal gling,632821201.0,458.0,bong stag dgon pa dge ldan bshad sgrub rnam rgyal gling,bong stag dgon pa dge ldan bshad sgrub rnam rgyal gling,na,G2380,them chen rdzong,G1KR2905,,,,,阿汗达勒寺,阿汉达来寺/阿汉达赖寺/阿坦达赖寺/额温达赖寺,a-han dale si,1812,g,1.765536723,1.766,,,,,,
G405,stag phu dgon pa/; 达普寺,,,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县; sbrang mda' shang (mal gro gung dkar rdzong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1163,加果寺; rgya sgo dgon/,31.222107,95.376123,steng chen rdzong /; Tengchen County; 丁青县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2CN11067,grang phu lung /,,,gram bu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2411,西关寺; shel dgon/,35.64013,102.2,同仁县; Rebkong County; reb gong rdzong /,0101000020E6100000CDCCCCCCCC8C59402098A3C7EFD14140,828.0,2411.0,,西关寺,xiguan si,双朋西乡,Shuangpengxi xiang,Shuang Peng Xi Xiang,632321.0,同仁县,Tongren Xian,6323.0,Huangnan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.64013,102.2,632321202.0,138.0,shel dgon bde chen chos kyi pho brang ngam bkra shis rdzong,632321202.0,581.0,shel dgon bde chen chos kyi pho brang ngam bkra shis rdzong,shel dgon bde chen chos kyi pho brang ngam bkra shis rdzong,na,G984,reb gong rdzong,G1KR2411,,,,,西关寺,,xiguan si,1630,g,21.1584237,21.158,,,,,,
G1DOMM0021,Ulaanii shashnii zodoch nariin khural,47.9,106.98,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1619,e wam bkra shis dgon/,,,nyag rong rdzong /; 新龙县; Nyakrong county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4246,sde gsum gling /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4379,dkar chung dgon pa/,,,lha sa/; Lhasa; 拉萨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1114,桑灯林寺,30.56667,98.9,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E61000009A99999999B95840D39FFD4811913E40,2224.0,1114.0,,扎玛乌金桑邓林寺,Zhamawujin sangdenglinsi,敏都乡,Mindu xiang,Min Du Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.56667,98.9,542123208.0,314.0,,542123208.0,314.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1114,,,,na,桑灯林寺,,Zhamawujin sangdenglinsi,na,Nyingma,16.58099818,16.581,na,na,na,na,na,
